Hospital/Institution,Job Title,Department/Specialty,Location,Application Contact Email,Application URL,Job Description (short),Language Requirement (if mentioned)
Spital Bülach AG,Assistenzärztin / Assistenzarzt Notfall 100%,Notfallmedizin,Bülach (ZH),info@spitalbuelach.ch,https://job.spitalbuelach.ch/offene-stellen/assistenzaerztin-assistenzarzt-notfall/fa4d2757-9a07-4ae6-8059-2e115acae2ca,"Notfallversorgung, Ultraschall unter Supervision, Schichtdienst.",Deutsch C1
Spitäler Schaffhausen (Kantonsspital),Assistenzärztin / Assistenzarzt Innere Medizin (100%),Allgemeine Innere Medizin,Schaffhausen (SH),medizin@spitaeler-sh.ch,https://www.spitaeler-sh.ch/Jobs-Karriere/Offene-Stellen/,Stationäre AIM in Kategorie-A-Weiterbildungsstätte.,Deutsch (B2–C1)
Spital Uster AG,Assistenzärztin / Assistenzarzt Innere Medizin,Allgemeine Innere Medizin,Uster (ZH),chefarztsekretariat.medizin@spitaluster.ch,https://www.spitaluster.ch/Karriere-und-Jobs/Aerztinnen-und-Aerzte.42.html,Assistenz in AIM (Weiterbildungsstätte A); strukturierte Fortbildungen.,Deutsch (B2–C1)
GZO Spital Wetzikon,Assistenzärztin / Assistenzarzt Innere Medizin,Allgemeine Innere Medizin,Wetzikon (ZH),personal@gzo.ch,https://www.gzo.ch/fakultaet/assistenzarzt,Breite Grundausbildung für Nicht-Fachanwärter; Weiterbildungskonzept AIM.,Deutsch (B2–C1)
Spital Männedorf AG,Assistenzärztin / Assistenzarzt Innere Medizin,Allgemeine Innere Medizin,Männedorf (ZH),humanresources@spitalmaennedorf.ch,https://karriere.spitalmaennedorf.ch/stellenboerse/,Assistenzstellen im Regionalspital; moderne Weiterbildung.,Deutsch (B2–C1)
Spital Zollikerberg,Assistenzärztin / Assistenzarzt Chirurgie,Chirurgie,Zollikerberg (ZH),andreas.schierz@spitalzollikerberg.ch,https://gesundheitswelt-zollikerberg.ch/de/jobs-karriere/weiterbildung/fachaerztin-facharzt-chirurgie,Assistenz Chirurgie in der Weiterbildungsstätte; Rotationen möglich.,Deutsch (B2–C1)
Spital Zollikerberg,Assistenzärztin / Assistenzarzt Frauenklinik,Gynäkologie & Geburtshilfe,Zollikerberg (ZH),frauenklinik@spitalzollikerberg.ch,https://gesundheitswelt-zollikerberg.ch/de/jobs-karriere/weiterbildung/fachaerztin-facharzt-gynaekologie-geburtshilfe,Assistenz Gyn/Geburtshilfe in der Frauenklinik.,Deutsch (B2–C1)
See-Spital (Horgen/Kilchberg),Assistenzärztin / Assistenzarzt Innere Medizin,Allgemeine Innere Medizin,Horgen (ZH),sekretariat-medizin@see-spital.ch,https://see-spital.ch/jobs/,Assistenz AIM in Regionalspital mit Akutgeriatrie.,Deutsch (B2–C1)
Zuger Kantonsspital (ZGKS),Assistenzärztin / Assistenzarzt Innere Medizin,Allgemeine Innere Medizin,Baar (ZG),personal@zgks.ch,https://www.zgks.ch/startseite,Assistenz AIM in Regionalspital; Rotationen im Notfallzentrum.,Deutsch (B2–C1)
Spital Lachen AG,Assistenzärztin / Assistenzarzt Innere Medizin,Allgemeine Innere Medizin,Lachen (SZ),info@spital-lachen.ch,https://www.spital-lachen.ch/start.html,Assistenz AIM im Gesundheitszentrum am See.,Deutsch (B2–C1)
Spitäler Schaffhausen (Kantonsspital),Assistenzärztin / Assistenzarzt Notfallmedizin,Notfallmedizin,Schaffhausen (SH),medizin@spitaeler-sh.ch,https://www.spitaeler-sh.ch/Kliniken-Fachzentren/Notfallmedizin/,"Assistenz in Notfallzentrum, interdisziplinäre Einsätze.",Deutsch (B2–C1)
Spital Bülach AG,Assistenzärztin / Assistenzarzt Radiologie,Radiologie,Bülach (ZH),radiologie@spitalbuelach.ch,https://www.spitalbuelach.ch/,Assistenz Radiologie im Regionalspital; Supervision & Weiterbildung.,Deutsch (B2–C1)
Spital Uster AG,Assistenzärztin / Assistenzarzt Notfallmedizin,Notfallmedizin,Uster (ZH),notfallsekretariat@spitaluster.ch,https://www.spitaluster.ch/Ueber-uns/Fachpersonen-Suche/Detail-Ansicht.75.html?employeeID=3362,Assistenz Notfall; interdisziplinäres Team.,Deutsch (B2–C1)
Spitäler Schaffhausen (Kantonsspital),Assistenzärztin / Assistenzarzt Chirurgie,Chirurgie,Schaffhausen (SH),medizin@spitaeler-sh.ch,https://ostschweizer-jobs.ch/company/spita%CC%88ler-schaffhausen-ssh/326870794a,Assistenz Chirurgie; breites operatives Spektrum.,Deutsch (B2–C1)
Universitätsspital Zürich (USZ),Assistenzärztin/Assistenzarzt,Institut für Notfallmedizin,Zürich,,https://jobs.usz.ch/offene-stellen/assistenzarztin-assistenzarzt-w-m-d-fur-das-institut-fur-notfallmedizin-50-100/400ea448-6b2c-4137-ac36-ccd4ac462a18,Akutbehandlung und Notfalldienst in anerkannter SGNOR-Weiterbildungsstätte.,Sehr gute Deutschkenntnisse
Universitätsspital Zürich (USZ),Assistenzärztin/Assistenzarzt,Rheumatologie (ambulant),Zürich,,https://jobs.usz.ch/offene-stellen/assistenzarztin-assistenzarzt-m-w-d-ambulante-rheumatologie-80-100/98ec5d17-ff99-4238-9906-ad1b6ecc597e,Diagnostik & Therapie entzündlicher/degenerativer rheumatologischer Erkrankungen.,Deutsch (sehr gut)
Universitätsspital Zürich (USZ),Assistenzärztin/Assistenzarzt,Funktionsdiagnostik – Neurogastroenterologie und Motilität,Zürich,,https://jobs.usz.ch/offene-stellen/assistenzaerztin-assistenzarzt-w-m-d-funktionsdiagnostik-neurogastroenterologie-und-motilitaet/fe6606b6-8e9b-49af-a688-413de14bbf22,"Mitwirkung in Diagnostik/Therapie Neurogastroenterologie, Forschung möglich.",Sehr gute Deutschkenntnisse
Universitätsspital Zürich (USZ),Assistenzärztin/Assistenzarzt (Nacht),Klinik für Konsiliarpsychiatrie & Psychosomatik,Zürich,,https://jobs.usz.ch/offene-stellen/oberarzt-oberarztin-oder-assistenzarzt-arztin-w-m-d-als-nachtarzt-nachtarztin-klinik-fur-konsilliarpsychiatrie-und-psychosomatik-20-30/9b1dd745-d8f6-4590-a494-04f87c374ba1,Nachtärztliche Versorgung in Konsiliarpsychiatrie/ psychosomatik.,Deutsch
Universitätsspital Zürich (USZ),Assistenzärztin/Assistenzarzt,Neuroradiologie,Zürich,,https://jobs.usz.ch/offene-stellen/assistenzaerztin-assistenzarzt-w-m-d-neuroradiologie/18a7db43-7419-47ee-a2a0-337f240d48a2,Weiterbildung in Neuroradiologie mit Rotationen und Forschung möglich.,Deutsch (sehr gut)
Insel Gruppe (Inselspital),Assistenzärztin/Assistenzarzt,Notfallzentrum (Rotation),Bern,,https://jobs.inselgruppe.ch/offene-stellen/assistenzaerztin-arzt/1f9e4bdc-9725-34a2-bcbc-3138a1c0f7c2,"Anerkannte Weiterbildung Innere/Chirurgie, Ultraschallausbildung möglich.",Deutsch (C1)
Insel Gruppe (Inselspital),Assistenzärztin/Assistenzarzt,Radiologie,Bern,,https://jobs.inselgruppe.ch/offene-stellen/assistenzaerztin-arzt-radiologie/62b311d9-cb17-4264-b223-94178dc7e3b2,Weiterbildung in diagnostischer Radiologie in universitärem Umfeld.,Deutsch (C1)
Insel Gruppe (Inselspital),Assistenzärztin/Assistenzarzt (Fremdjahr),Neurologie,Bern,,https://jobs.inselgruppe.ch/offene-stellen/assistenzaerztin-arzt-fremdjahr-neurologie/4ec63136-a05c-46af-a79f-94895f031fcd,Rotationsstelle Neurologie (Fremdjahr) mit breitem Spektrum.,Deutsch (C1)
Luzerner Kantonsspital (LUKS),Assistenzärztin/Assistenzarzt,Allgemeine Innere Medizin (Kategorie A),Luzern,,https://www.luks.ch/standorte/standort-luzern/innere-medizin/ueber-innere-medizin-luzern/assistenzarzt-stellen-allgemein-innere-medizin,"Weiterbildung bis 3 Jahre anrechenbar (AIM), stationäre Grundversorgung.",Deutsch (B2–C1)
Luzerner Kantonsspital (LUKS),Assistenzärztin/Assistenzarzt,Augenklinik (Ophthalmologie),Luzern,,https://www.luks.ch/standorte/standort-luzern/augenklinik/ueber-augenklinik-luks-luzern/assistenzarzt-stellen-der-augenklinik,Assistenz in der Augenheilkunde inkl. Weiterbildungscurriculum.,Deutsch (B2–C1)
